pos index,depth index,current joint depth,current joint position,current joint effort,current torque offset
-1,2,0.1167412848,-0.0011715386,-0.1317725021,-0.20427474
-2,2,0.1167425811,-0.0030562715,-0.1903029545,-0.20427474
-3,2,0.1167438774,-0.0049788459,-0.2459068844,-0.2157448206
-4,2,0.1167438774,-0.0067388567,-0.3166862501,-0.2157448206
-5,2,0.1167438774,-0.0086243619,-0.3775059984,-0.2181285204
-6,2,0.1167435533,-0.0104480853,-0.4408274516,-0.2330207444
-7,2,0.1167427107,-0.0123675706,-0.4962189726,-0.2330207444
-8,2,0.1167425811,-0.0141712148,-0.5630569731,-0.2304718376
-9,2,0.1167451737,-0.0159470572,-0.6342375556,-0.2311798673
0,2,0.1167270256,-0.0006479373,0.0630536612,-0.2519487375
1,2,0.1167335071,-0.0021264545,-0.0355984724,-0.2519487375
2,2,0.1167386922,-0.0039022969,-0.1056698084,-0.0965598267
3,2,0.1167412848,-0.0056140407,-0.1817121946,-0.1599048809
4,2,0.1167477663,-0.0073045469,-0.2598786698,-0.1799657214
5,2,0.1167490626,-0.0091112802,-0.3265514634,-0.1799657214
6,2,0.1167542477,-0.0109110631,-0.3951831391,-0.2089241348
7,2,0.116755544,-0.0127598854,-0.4574661488,-0.2089241348
8,2,0.1167607292,-0.0144947973,-0.5319744707,-0.212771096
9,2,0.1167633218,-0.0162698675,-0.6013613781,-0.2202998114
10,2,0.1167646829,-0.0181086502,-0.6650840481,-0.2404550559
11,2,0.1167672106,-0.0199883634,-0.7242989292,-0.2404550559
12,2,0.1167698032,-0.0217472158,-0.7959515315,-0.2510991019
13,2,0.1167723958,-0.0235585828,-0.8634975617,-0.2510991019
14,2,0.1167738217,-0.0252977422,-0.9359289966,-0.2492582248
15,2,0.1167775809,-0.0271214656,-0.9991324448,-0.2517363286
16,3,0.1262833403,-0.0267600417,-0.9289667049,-0.1185795493
15,3,0.1262793866,-0.0253830784,-0.8392121441,-0.108714336
14,3,0.1262729052,-0.0239960756,-0.754555397,-0.0971970534
13,3,0.1262612386,-0.0224808754,-0.6807551047,-0.0971970534
12,3,0.1262469794,-0.0209830514,-0.6048307234,-0.0893143231
11,3,0.1262366091,-0.0194693957,-0.5302751995,-0.0893143231
10,3,0.1262236462,-0.0178850771,-0.4644284405,-0.0827532482
9,3,0.1262197573,-0.0162660061,-0.4023342387,-0.0827532482
8,3,0.1262171647,-0.0146801429,-0.3363458738,-0.0650997085
7,3,0.1262145721,-0.0131672596,-0.261601542,-0.0650997085
6,3,0.1262158684,-0.0115304263,-0.1988465125,-0.0697727043
5,3,0.1262171647,-0.0098379894,-0.1443990312,-0.066208955
4,3,0.126218461,-0.0082173739,-0.0807471641,-0.0871430321
3,3,0.1262223499,-0.0065805407,-0.0186529623,-0.0871430321
2,3,0.1262223499,-0.004996222,0.0491054768,-0.0871430321
1,3,0.1262249425,-0.0033072604,0.1046858056,-0.1514321258
