pos index,depth index,depth,current joint position,current joint effort,current torque offset
9,0,0.0967537893,0.0185550241,0.6454199614,0.1826045693
10,0,0.0967602708,0.0211405951,0.6641827476,0.1827461752
11,0,0.0967641596,0.023596038,0.697436541,0.1827461752
12,0,0.0967693448,0.0260047584,0.7331684381,0.1902984917
13,0,0.0967732337,0.0285212109,0.7594363388,0.1892600482
14,0,0.0967784188,0.0309677727,0.7919821025,0.2017213703
15,0,0.0967849003,0.0334097008,0.8257787185,0.2078812284
16,0,0.0967874929,0.0358593517,0.858843704,0.2048603018
17,0,0.0967887891,0.0383503192,0.8854656195,0.2034914445
18,0,0.0967939743,0.0407934057,0.9178461762,0.2054739275
19,0,0.096801752,0.043233017,0.952374423,0.2050019077
20,0,0.0968056409,0.045747925,0.9784299147,0.2050019077
20,0,0.0968107613,0.0464244364,0.9155096783,0.2043410801
19,0,0.0968082335,0.0441091611,0.8647203502,0.0990806696
18,0,0.0968030483,0.0418263212,0.8158899042,0.09813663
17,0,0.0968004558,0.0395863426,0.7626932752,0.0977826152
16,0,0.0967952706,0.0372173943,0.7216983575,0.0944784768
15,0,0.096792678,0.0348747033,0.6786265528,0.0973813984
14,0,0.0967900854,0.0325181113,0.6367583985,0.0973813984
13,0,0.0967861966,0.0301758064,0.5938990027,0.0995290884
12,0,0.0967849003,0.0277744226,0.5570106571,0.0944548758
11,0,0.0967823077,0.0253857814,0.5171721878,0.0925195947
10,0,0.0967797151,0.0230044767,0.4769089008,0.0924251907
9,0,0.0967771225,0.0205942118,0.4420974421,0.0904191067
8,0,0.09677453,0.018102472,0.4144842851,0.0914811512
7,0,0.0967693448,0.0156539795,0.3798144325,0.0976174083
6,0,0.0967693448,0.0132958431,0.3394803424,0.0882242147
5,0,0.0967654559,0.0108168458,0.308657451,0.0800346716
4,0,0.0967641596,0.0082702746,0.2860241026,0.0953989153
3,0,0.0967628633,0.0058117426,0.2539739597,0.0953989153
2,0,0.0967615671,0.0033281117,0.2249447434,0.1136424798
1,0,0.0967602708,0.0008549065,0.193933044,0.1136424798
0,0,0.0967602708,-0.0015468634,0.1565254766,0.091764363
-1,0,0.0967589745,-0.0039671679,0.1213836041,0.0787366172
-2,0,0.0967563819,-0.0064237692,0.0895458701,0.0712079017
-3,0,0.096752493,-0.0089054694,0.0583925648,0.0620035161
-4,0,0.0967537893,-0.0113504866,0.0253983823,0.0720811383
-5,0,0.0967511967,-0.0138418403,-0.0029936073,0.0703110641
-6,0,0.0967511967,-0.0162671645,-0.0384894946,0.0636319843
-7,0,0.096752493,-0.0186453801,-0.0793192054,0.0691546157
-8,0,0.0967509375,-0.021103526,-0.1104489098,0.0708538869
-9,0,0.0967486042,-0.023587543,-0.1400445498,0.0708538869
0,1,0.1064038258,-0.0022994437,0.2323790549,0.0708538869
1,1,0.1064059647,-0.0044888385,0.2008717347,0.102479212
2,1,0.1064058998,-0.0065268677,0.1538349638,0.102479212
3,1,0.1064059647,-0.0086745597,0.1191887121,0.0839996377
4,1,0.1064059647,-0.010840014,0.0860765247,0.0853448941
5,1,0.1064059647,-0.012998904,0.0518550908,0.0774149618
6,1,0.1064033721,-0.015129606,0.0144711244,0.0668653198
7,1,0.1064033721,-0.0172699614,-0.022842039,0.0668653198
8,1,0.1064046684,-0.0193578022,-0.0649698042,0.0692962216
9,1,0.1064046684,-0.0215595534,-0.0940698235,0.0661100881
10,1,0.1064046684,-0.0237582154,-0.1223202072,0.0661100881
11,1,0.1064046684,-0.0259819763,-0.1518214433,0.062027117
12,1,0.1064046684,-0.0281899057,-0.1797178122,0.0610594765
13,1,0.1064033721,-0.0303495679,-0.2144584678,0.0699806503
14,1,0.1064059647,-0.0324995768,-0.2478302661,0.0667001128
15,1,0.1064046684,-0.0346631004,-0.2805176357,0.0667001128
16,1,0.1064059647,-0.0368849306,-0.3088860244,0.0595726142
17,1,0.1064072609,-0.0390480681,-0.3428242464,0.0644108169
18,1,0.1064085572,-0.0412162253,-0.3747327834,0.0574013232
19,1,0.1064098535,-0.0434009865,-0.4061456996,0.0559616629
20,1,0.1064137424,-0.0456143217,-0.4334520437,0.0559616629
21,1,0.1064150387,-0.0478037165,-0.464699753,0.0639387971
22,1,0.106416335,-0.0499440719,-0.4994168077,0.0636083833
23,1,0.1064189276,-0.0521218826,-0.5317737635,0.0601390379
24,1,0.1064228164,-0.0543506633,-0.558324876,0.0605166538
25,1,0.1064254738,-0.0565249987,-0.5894309793,0.0605166538
26,1,0.1064280016,-0.0586746214,-0.624030029,0.0653548565
27,1,0.1064318905,-0.0608261748,-0.6573546253,0.0648120337
28,1,0.1064336404,-0.0630364209,-0.6871154723,0.0579913479
29,1,0.1064371404,-0.0652825778,-0.7098432246,0.0579913479
30,1,0.1064427145,-0.0674368341,-0.7433330279,0.0580857519
31,1,0.1064500385,-0.0696374269,-0.7708045789,0.0618147081
32,1,0.1064526311,-0.071813693,-0.8029491258,0.0597378211
33,1,0.1064583348,-0.0740084937,-0.832285155,0.0629003536
34,1,0.1064653347,-0.0762415219,-0.8567121785,0.0629003536
35,1,0.1064694829,-0.0783938475,-0.8907684055,0.0635847823
36,1,0.1064759643,-0.0805565989,-0.9234793761,0.0637263882
37,1,0.1064839365,-0.0827853796,-0.9463959363,0.0662516941
38,1,0.1064915198,-0.0849346162,-0.9799801435,0.0662516941
38,1,0.1065028623,-0.0856609392,-0.9182871585,0.1392967547
37,1,0.1065005938,-0.0835622865,-0.8685598749,0.1412084348
36,1,0.1064980012,-0.0815339107,-0.8242136168,0.1427424991
35,1,0.1064941124,-0.0794503174,-0.7832186991,0.1435449327
34,1,0.1064902235,-0.0774076546,-0.7386364311,0.1435449327
33,1,0.1064847791,-0.0753144078,-0.7000724152,0.1460938395
32,1,0.1064772606,-0.0731763692,-0.66653541,0.1447013811
31,1,0.1064759643,-0.071039489,-0.6300482812,0.1447013811
30,1,0.1064733717,-0.068934272,-0.5923339009,0.1490203621
29,1,0.1064707792,-0.0668139957,-0.5559883781,0.1494687809
28,1,0.1064681866,-0.0646987392,-0.5189584265,0.1451970019
27,1,0.1064642977,-0.0624981465,-0.490188821,0.1529381263
26,1,0.1064642977,-0.0603531574,-0.4551649535,0.1529381263
25,1,0.1064604088,-0.0582073961,-0.4212267315,0.153528151
24,1,0.1064591125,-0.0560832584,-0.3837483611,0.1517344758
23,1,0.1064578163,-0.0539351803,-0.3495741292,0.1544013876
22,1,0.1064585292,-0.0517446271,-0.3187276367,0.15350455
21,1,0.10645652,-0.0495868955,-0.2848838187,0.15350455
20,1,0.10645652,-0.0474399758,-0.2505915818,0.157634723
19,1,0.10645652,-0.0452474919,-0.2206419269,0.1550622153
18,1,0.10645652,-0.0430824237,-0.1881669662,0.1550622153
17,1,0.10645652,-0.0408864647,-0.1586185281,0.1523481015
16,1,0.10645652,-0.0387194658,-0.1252703308,0.1543541856
15,1,0.10645652,-0.0365493779,-0.0912141038,0.1547554024
14,1,0.10645652,-0.0343530326,-0.0618780746,0.153386545
13,1,0.10645652,-0.0321624795,-0.0303943555,0.153386545
12,1,0.10645652,-0.030013629,0.0030954478,0.1540001708
11,1,0.1064567144,-0.0278454718,0.036703256,0.1504600224
10,1,0.1064552237,-0.0256263445,0.0652132505,0.1501296086
9,1,0.1064552237,-0.0233890688,0.091811565,0.1529381263
8,1,0.1064552237,-0.0211502485,0.117277032,0.1529381263
7,1,0.1064578163,-0.0189392301,0.1467310662,0.1553690281
6,1,0.1064578163,-0.0168038945,0.1821561505,0.1526549144
5,1,0.1064578163,-0.0146314897,0.2159999686,0.1538585648
4,1,0.1064591125,-0.0124475008,0.2474836878,0.1569502944
3,1,0.1064604088,-0.0102453636,0.2770793278,0.1569502944
2,1,0.1064630014,-0.0080760479,0.3100971113,0.1500352046
1,1,0.1064642977,-0.0058322079,0.3351849625,0.1452442039
0,1,0.106465594,-0.0036489913,0.3666450807,0.1452442039
0,1,0.106465594,-0.0036385656,0.366031455,0.1452442039
1,1,0.1064668903,-0.0014236858,0.3953910851,0.1209587863
2,1,0.1064668903,0.0007498774,0.4266387944,0.1209587863
3,1,0.106465594,0.0032281023,0.4290224943,0.1465658593
4,1,0.106465594,0.0055572786,0.4463220192,0.1609624625
5,1,0.1064668903,0.0076833469,0.4831159608,0.1599948219
6,1,0.1064681866,0.0099105831,0.5109651277,0.1599948219
